Year,Latitude,Longitude,baa3_n_pre,baa4_n_pre,baa_mean_pre,baa3_n_post,baa4_n_post,baa_mean_post
2017,1.2229878,103.8542344,0,0,1.333333333,0,0,1.2
2015,-4.3314832,55.6620239,1,0,1.833333333,2,1,2.166666667
2017,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.2
1999,29.5508922,34.9593004,0,0,1.333333333,0,0,1.166666667
2017,18,-101.5,2,1,2.5,0,0,1.6
2007,1.2249821,103.7524501,0,0,1.333333333,0,0,1.166666667
2017,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.2
2003,23.5,121,1,0,1.5,0,0,1.5
2017,19.6897268,-80.0367259,1,0,1.666666667,0,0,1.6
2003,22.4736848,114.3356288,1,0,2.166666667,2,0,2.166666667
2017,29.5508922,34.9593004,1,0,2,3,0,2.4
1998,-7.869895,39.7549511,1,0,1.666666667,1,0,1.666666667
2010,-7.869895,39.7549511,0,0,1.833333333,0,0,1.666666667
2002,30,-95.5,0,0,1.666666667,1,0,2
1994,16.3425356,119.8927296,0,0,1.5,1,0,1.5
2000,29.557669,34.951925,0,0,1.166666667,0,0,1.166666667
2017,21.3996475,-157.7973653,1,0,1.333333333,0,0,1
2004,16.2226498,120.0462109,0,0,1,1,0,1.333333333
1984,16.3425356,119.8927296,0,0,0,0,0,1.5
1985,16.3425356,119.8927296,0,0,0,0,0,1.4
2017,1.2229878,103.8542344,0,0,1.333333333,0,0,1.2
1981,29.5,34.5,0,0,0,0,0,1.2
2008,16.3425356,119.8927296,0,0,1.333333333,0,0,1.5
2009,0.6246932,123.9750018,0,0,1.333333333,1,0,2
2009,0.6246932,123.9750018,0,0,1.333333333,1,0,2
2005,17.9525424,-76.8050018,0,0,1.333333333,1,0,1.666666667
1996,18.2683058,-78.3472424,0,0,1.166666667,0,0,1.5
1996,18.2683058,-78.3472424,0,0,1.166666667,0,0,1.5
1996,18.2683058,-78.3472424,0,0,1.166666667,0,0,1.5
1996,18.2683058,-78.3472424,0,0,1.166666667,0,0,1.5
2009,26.190096,-80.365865,0,0,1.333333333,0,0,1.5
2014,18.1262854,-65.4400985,1,0,1.833333333,1,0,1.833333333
2006,-5.0479066,119.3279386,0,0,1.666666667,1,0,2
2012,18.3526143,-77.6077865,0,0,1.333333333,0,0,1.166666667
1994,1.2494041,103.8303209,0,0,1.333333333,0,0,1.333333333
1999,11.1572078,123.8081288,1,0,2,0,0,1.5
2006,25.8917613,-80.1269896,0,0,1.333333333,0,0,1.5
2012,18.4762228,-77.8938895,0,0,1.333333333,0,0,1.166666667
2015,-4.3314832,55.6620239,1,0,1.833333333,2,1,2.166666667
2014,18.4762228,-77.8938895,0,0,1.333333333,0,0,1.333333333
2018,-30.296478,153.118617,2,0,2,1,0,2.25
2016,26.501301,127.945404,2,1,2.166666667,2,2,2.666666667
2015,28,-81,0,0,1,0,0,1.666666667
2016,18.176108,-78.032954,0,0,1.333333333,0,0,1.5
2017,1.2232435,103.8611194,0,0,1.333333333,0,0,1.2
2018,4.967505556,119.2875,0,0,2,0,0,1.75
2011,1.2229878,103.8542344,0,0,1.166666667,0,0,1.333333333
2013,-20.658235,116.715076,2,1,2.5,4,1,2.833333333
2015,12.16957,-68.99002,3,1,2.5,4,1,2.666666667
2017,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.2
2015,25.0273356,-81.5357506,2,0,2.166666667,2,0,2.333333333
2018,26.1224386,-80.1373174,0,0,1.333333333,0,0,1.25
2017,22.6006137,69.9565227,0,0,1.833333333,1,1,2.4
2017,17.7245968,-64.8347992,0,0,1.833333333,1,0,2
2017,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.2
2018,-18.6160685,146.4971995,2,1,2.166666667,1,1,2.25
2018,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.25
2018,-19.272811,147.053257,2,0,2,1,0,2
2018,41.952054,3.676571,2,1,2.166666667,3,1,2.75
2018,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.25
1979,13.5427054,144.8082805,0,0,0,1,0,2.25
1995,-16.7597228,145.9738016,0,0,1.5,0,0,1.666666667
1995,-14.6680433,145.463777,0,0,1.666666667,0,0,1.833333333
2000,-8.3405389,115.0919509,0,0,1.5,0,0,1.833333333
2000,28,-81,0,0,1.166666667,1,0,1.166666667
2004,-8.3482917,116.0384335,0,0,1.833333333,1,0,2.166666667
2004,1.6235162,124.7602683,0,0,1.666666667,0,0,1.5
2004,35.5,138.5,0,0,1.833333333,0,0,1.5
2006,9.8349493,118.7383615,0,0,1.333333333,0,0,1.333333333
2007,-2,121,0,0,1.666666667,0,0,1.666666667
2007,25.0151854,-80.3785098,0,0,1.5,0,0,1.666666667
2007,-8.5204754,179.1979716,0,0,1.333333333,0,0,1.166666667
2009,21.161908,-86.8515279,1,0,2,0,0,2
2010,-4.3314832,55.6620239,1,0,1.666666667,1,0,1.833333333
2010,28,-81,1,0,1.666666667,0,0,1
2010,28,-81,1,0,1.666666667,0,0,1
2010,19.8967662,-155.5827818,0,0,0.5,1,1,0.833333333
2011,29.557669,34.951925,0,0,1.666666667,1,0,2
2011,18.5820101,-68.4054729,2,0,2.333333333,0,0,1.833333333
2011,25.0273356,-81.5357506,1,0,1.833333333,2,0,2.166666667
2011,21.2321799,-86.7340934,0,0,1.833333333,2,0,2.333333333
2011,19.173773,-96.1342241,0,0,1.5,1,0,2.166666667
2011,18.0373245,-66.7962869,0,0,1.5,0,0,1.333333333
2011,18.4108456,-76.94237,0,0,1.666666667,0,0,1.333333333
2011,28,-81,0,0,1.333333333,0,0,1.166666667
2012,26.1224386,-80.1373174,0,0,1.5,0,0,1.333333333
2012,12.2018902,-68.2623822,4,2,3,3,0,2.333333333
2012,12.2018902,-68.2623822,4,2,3,3,0,2.333333333
2012,26.0667,50.5577,1,0,1.666666667,3,0,2.333333333
2012,-8.3405389,115.0919509,1,1,2.333333333,1,1,2.333333333
2012,18.458202,-77.3984704,0,0,1.5,0,0,1.333333333
2013,17.1453295,-61.7630533,2,1,2.5,1,0,2
2013,17.1453295,-61.7630533,2,1,2.5,1,0,2
2013,7.926946,81.5619942,0,0,1.333333333,1,0,1.666666667
2013,-8.3482917,116.0384335,2,1,2.5,1,1,2.333333333
2013,-8.3482917,116.0384335,2,1,2.5,1,1,2.333333333
2013,-8.3482917,116.0384335,2,1,2.5,1,1,2.333333333
2014,7.740738,98.77841,1,1,2.166666667,2,0,2.333333333
2014,-17.4963401,168.4098167,0,0,1.833333333,1,1,2.166666667
2014,26.501301,127.945404,1,0,2,2,2,2.5
2014,0.6246932,123.9750018,1,0,2,0,0,1.666666667
2014,18.5,-70,1,0,2,1,0,1.833333333
2014,18.5,-70,1,0,2,1,0,1.833333333
2014,18.5,-70,1,0,2,1,0,1.833333333
2014,18.5,-70,1,0,2,1,0,1.833333333
2015,-17.8483187,178.0118473,2,0,1.666666667,2,0,2.166666667
2015,12.1242614,-61.6238565,2,1,2.333333333,2,0,2.166666667
2015,-8.5850461,119.4411476,1,0,1.833333333,2,1,2.333333333
